Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 08.01.2024 / Stand: 01.01.2024

Monatswerte Tage mit Niederschlag (>= 1mm) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1961-12.1990	11.5	10.3	11.7	12.0	13.3	12.6	11.5	12.3	8.8	8.6	10.9	11.0	134.5
Aarberg	444	2588354 / 1211894	01.1961-12.1990	11.0	10.1	11.7	11.2	12.9	11.3	9.3	10.7	8.3	8.5	10.0	10.3	125.3
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1961-12.1990	6.6	6.9	7.5	9.3	11.8	10.4	8.8	10.5	7.6	7.6	8.3	6.2	101.5
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	11.6	10.7	13.0	13.2	15.1	15.5	14.4	14.0	9.9	8.8	10.9	11.2	148.3
Affeltrangen	541	2718739 / 1266351	01.1961-12.1990	12.0	10.3	11.1	11.9	13.5	12.6	11.8	11.9	8.6	8.7	10.3	10.6	133.3
Affoltern i. E.	755	2622940 / 1212500	01.1961-12.1990	12.2	11.5	13.3	12.9	14.2	12.8	10.7	11.9	8.9	8.6	11.3	11.4	139.7
Aigle	381	2560403 / 1130713	01.1961-12.1990	10.4	8.9	10.7	10.5	12.1	11.8	10.0	11.4	8.3	7.9	10.2	10.1	122.3
Airolo	1139	2688910 / 1153417	01.1961-12.1990	9.4	9.7	10.2	10.8	13.0	11.1	9.5	10.6	8.7	9.3	10.2	9.2	121.7
Allenwinden, TG	865	2713800 / 1249549	01.1961-12.1990	14.4	12.7	14.1	14.1	14.9	14.2	13.0	13.4	10.2	10.1	13.5	12.9	157.5
Alpthal	1015	2696860 / 1212929	01.1961-12.1990	13.5	11.8	14.8	15.2	15.3	16.2	14.6	14.5	10.9	9.8	12.4	12.9	161.9
Altdorf	437	2690180 / 1193563	01.1961-12.1990	10.1	9.3	11.0	12.1	13.1	14.4	13.1	13.2	9.4	8.2	9.5	10.2	133.6
Altmatt	920	2695420 / 1220769	01.1961-12.1990	13.2	12.1	13.9	13.8	14.8	15.8	13.8	14.1	10.2	9.5	11.5	12.2	154.9
Altstätten, SG	430	2759910 / 1250201	01.1961-12.1990	11.9	10.7	11.8	13.0	14.5	14.2	13.5	13.4	10.0	8.3	10.8	11.3	143.4
Alvaneu Dorf	1162	2768985 / 1171899	01.1961-12.1990	8.0	7.3	8.9	9.3	12.5	12.1	12.4	12.8	8.6	7.2	8.6	8.0	115.7
Amriswil	420	2741796 / 1268303	01.1961-12.1990	11.3	10.5	11.4	12.4	13.5	12.9	11.9	12.0	8.9	8.4	10.8	10.9	134.9
Andeer	987	2752692 / 1164037	01.1961-12.1990	6.7	5.8	7.5	8.6	10.6	11.0	10.3	11.4	8.1	6.4	7.0	6.7	100.1
Andelfingen	360	2692617 / 1273392	01.1961-12.1990	10.3	10.1	11.2	11.3	12.6	11.5	10.9	11.7	8.3	8.3	10.4	11.0	127.6
Andermatt	1434	2687444 / 1165043	01.1961-12.1990	11.6	10.9	13.2	14.0	14.1	13.9	12.1	12.8	9.5	9.6	11.4	11.6	144.7
Appenzell	750	2748012 / 1245039	01.1961-12.1990	12.6	11.5	13.6	13.9	15.7	15.4	14.6	14.8	10.6	9.2	11.9	12.3	156.1
Arbon	401	2750506 / 1263114	01.1961-12.1990	11.2	9.8	11.1	12.1	13.5	13.3	12.6	12.1	9.0	8.2	10.4	10.8	134.1
Arisdorf	482	2625317 / 1261859	01.1961-12.1990	12.0	11.0	12.7	12.6	13.7	12.2	10.2	12.0	9.0	9.0	11.1	11.9	137.4
Arosa	1878	2771030 / 1184830	01.1961-12.1990	11.1	9.7	12.3	13.2	14.1	15.4	14.5	14.3	10.1	8.5	10.2	10.1	143.5
Avenches	457	2569652 / 1191910	01.1961-12.1990	10.6	9.6	10.9	10.7	12.5	11.1	9.5	10.2	8.0	8.4	9.8	10.5	121.8
Avers / Am Bach	1993	2761959 / 1146802	01.1961-12.1990	7.7	7.2	9.7	10.6	13.2	13.2	11.8	12.4	8.9	8.1	9.4	8.0	120.2
Bachtel	1110	2709440 / 1239139	01.1961-12.1990	12.8	11.7	13.5	13.6	14.1	14.4	13.2	14.2	10.1	9.1	11.8	12.0	150.5
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	9.7	8.8	9.9	11.4	12.5	13.5	12.9	13.3	9.5	7.8	9.5	9.2	128.0
Bad Schwendi	1084	2634140 / 1207460	01.1961-12.1990	13.3	12.4	14.7	14.6	15.4	14.8	12.2	13.1	9.6	9.3	12.1	12.3	153.8
Balsthal	523	2621017 / 1241091	01.1961-12.1990	12.1	10.6	12.5	12.3	13.5	12.6	10.8	11.7	9.1	8.6	11.3	11.7	136.8
Barmelweid	777	2640058 / 1252430	01.1961-12.1990	13.5	11.8	13.4	13.4	13.9	12.9	10.9	12.1	9.3	9.0	11.9	12.3	144.4
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	10.1	9.4	10.8	11.3	12.6	10.9	9.5	10.3	8.3	8.4	10.0	9.8	121.4
Baulmes	642	2530055 / 1182443	01.1961-12.1990	12.9	11.8	12.8	11.7	13.5	11.8	9.7	10.6	8.4	9.3	11.0	12.1	135.6
Bauma	667	2710805 / 1247004	01.1961-12.1990	13.5	12.0	13.9	13.7	14.3	14.2	12.9	13.5	10.0	9.6	12.4	12.5	152.5
Bellelay	923	2579603 / 1234880	01.1961-12.1990	13.8	12.4	15.1	14.0	15.5	13.2	11.1	11.7	9.7	10.2	12.4	13.0	152.1
Bellinzona	224	2720913 / 1116587	01.1961-12.1990	6.2	6.4	7.6	9.7	13.0	11.1	9.2	10.0	7.9	8.0	7.9	5.8	102.8
Belp	510	2605082 / 1195000	01.1961-12.1990	10.8	10.3	11.9	12.3	14.0	12.5	11.0	11.3	8.4	8.4	10.2	10.6	131.7
Benken / Doggen	408	2715387 / 1227539	01.1961-12.1990	11.5	10.9	12.4	12.8	14.0	14.5	13.6	13.7	9.8	8.6	10.7	11.1	143.6
Bergün / Latsch	1407	2777274 / 1166618	01.1961-12.1990	8.5	8.2	9.6	10.1	12.4	13.2	12.7	13.6	9.1	7.7	9.0	8.9	123.0
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	10.0	9.8	11.3	11.6	13.7	11.8	10.0	10.9	8.1	8.0	10.1	10.2	125.5
Bernina / Curtinatsch	2090	2795796 / 1146485	01.1961-12.1990	6.5	6.5	7.0	8.2	11.9	11.2	12.5	11.9	8.0	7.8	7.9	6.3	105.7
Beromünster	642	2657200 / 1228760	01.1961-12.1990	11.8	11.2	12.6	12.7	13.7	13.2	11.3	12.5	8.4	8.5	11.0	11.2	138.1
Bex	402	2565805 / 1121511	01.1961-12.1990	10.0	9.4	10.7	10.6	12.2	12.4	10.4	11.5	8.4	8.2	10.0	9.6	123.4
Beznau	327	2659976 / 1267750	01.1961-12.1990	12.9	10.3	11.9	11.7	12.8	11.4	10.3	11.0	8.6	8.4	10.7	11.8	131.8
Biasca	278	2718535 / 1132792	01.1961-12.1990	5.7	6.6	7.2	8.4	11.3	9.9	8.6	9.7	7.5	7.5	7.9	5.5	95.8
Biel/Bienne	433	2586260 / 1218840	01.1961-12.1990	12.2	10.5	11.6	11.2	12.7	11.5	9.8	10.7	8.3	9.1	10.7	11.7	130.0
Binn	1479	2657995 / 1135421	01.1961-12.1990	9.4	9.2	9.0	9.0	11.0	9.2	8.8	10.0	7.1	8.2	9.1	8.9	108.9
Bischofszell / Sitterdorf	507	2737713 / 1263612	01.1961-12.1990	11.3	10.6	11.8	12.6	13.7	13.4	12.3	12.6	9.0	8.5	10.6	10.9	137.3
Bisisthal	856	2705983 / 1200132	01.1961-12.1990	13.3	11.8	14.3	14.8	14.8	16.4	16.1	15.6	11.5	9.9	12.3	12.7	163.5
Bivio	1856	2771282 / 1148119	01.1961-12.1990	9.8	8.9	10.7	11.8	13.1	13.1	12.0	11.9	9.1	8.6	10.0	9.8	128.8
Bière	683	2515887 / 1153211	01.1961-12.1990	11.9	10.5	11.8	10.4	11.7	10.3	8.6	9.2	8.5	9.0	10.1	11.5	123.5
Blatten, Lötschental	1538	2629563 / 1141083	01.1961-12.1990	11.0	9.5	10.8	9.5	11.1	11.0	10.8	11.3	7.6	8.3	9.4	10.4	120.7
Blumenstein	655	2606259 / 1177009	01.1961-12.1990	10.6	10.2	11.8	12.5	14.5	13.9	12.2	13.0	9.3	8.5	10.2	10.0	136.7
Boltigen	820	2595831 / 1163587	01.1961-12.1990	11.5	10.0	11.8	12.2	13.9	14.3	12.2	12.4	9.2	8.4	10.4	11.0	137.3
Bosco/Gurin	1486	2680878 / 1130026	01.1961-12.1990	8.9	9.3	9.8	10.8	14.2	11.8	10.0	11.4	8.8	8.9	9.5	8.5	121.9
Boudevilliers	750	2558094 / 1208130	01.1961-12.1990	12.9	11.1	12.0	11.2	13.1	11.8	10.2	10.4	8.5	9.1	10.9	12.9	134.1
Bourg-St-Pierre	1668	2582152 / 1088263	01.1961-12.1990	9.7	8.8	10.2	9.9	11.7	11.1	10.3	10.6	8.3	8.3	9.2	8.9	117.0
Braggio	1312	2729967 / 1128611	01.1961-12.1990	6.1	6.4	6.9	9.0	12.0	10.2	9.7	9.6	7.2	7.4	7.6	5.3	97.4
Braunau	592	2723115 / 1264786	01.1961-12.1990	12.3	10.9	12.2	13.3	14.0	14.0	12.6	13.1	9.2	9.2	11.7	11.5	144.0
Braunwald	1299	2717942 / 1199650	01.1961-12.1990	12.9	11.9	14.8	14.4	14.6	15.8	16.0	15.4	11.1	9.7	12.2	12.5	161.3
Brienz	567	2647552 / 1176803	01.1961-12.1990	11.1	10.4	12.2	11.9	14.0	14.8	13.8	14.3	9.3	8.7	10.7	11.0	142.2
Brig	665	2640566 / 1129068	01.1961-12.1990	7.7	6.7	6.8	5.9	7.5	7.0	6.4	7.7	5.2	6.3	7.3	7.7	82.2
Brissago	280	2698199 / 1108388	01.1961-12.1990	5.8	6.6	7.5	9.2	12.3	9.8	8.9	9.3	7.8	8.2	8.1	5.6	99.1
Bristen	784	2696223 / 1180372	01.1961-12.1990	11.0	9.5	12.3	13.3	13.9	13.8	13.6	13.7	9.8	9.0	10.9	10.2	141.0
Broc	682	2574681 / 1162098	01.1961-12.1990	10.4	10.0	11.5	11.5	13.8	13.3	10.8	11.8	8.8	8.4	10.3	10.5	131.1
Brusio	856	2806478 / 1127183	01.1961-12.1990	5.4	5.6	6.6	8.5	12.0	11.1	10.2	10.3	7.2	7.1	7.1	5.2	96.3
Bruzella	620	2724090 / 1082488	01.1961-12.1990	6.6	7.1	7.7	11.1	13.1	11.0	8.5	9.8	7.6	7.8	8.3	5.8	104.4
Brülisau	928	2752884 / 1240106	01.1961-12.1990	13.2	11.5	13.6	14.9	15.8	16.0	15.4	14.5	11.1	9.7	12.3	12.9	160.9
Buch, SH	414	2700944 / 1286038	01.1961-12.1990	10.3	8.9	10.5	10.9	12.3	11.0	10.7	11.1	7.7	8.5	10.0	10.1	122.0
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	11.2	10.0	11.7	11.7	12.0	12.2	11.1	11.5	8.5	8.4	10.9	10.9	130.1
Buffalora	1971	2816494 / 1170254	01.1961-12.1990	9.0	8.1	9.1	10.4	12.7	11.5	11.5	11.6	8.1	7.9	9.0	8.7	117.6
Bullet / La Frétaz	1205	2534225 / 1188081	01.1961-12.1990	12.7	10.7	12.2	12.1	13.8	12.6	10.1	11.0	9.0	9.4	10.6	11.6	135.8
Burgdorf	534	2612163 / 1211782	01.1961-12.1990	11.1	10.0	11.8	11.9	13.0	11.2	10.3	10.9	7.9	8.1	10.3	10.6	127.1
Bözberg	536	2652249 / 1259223	01.1961-12.1990	12.6	10.7	12.4	12.2	13.0	11.6	10.4	11.7	8.6	8.8	10.8	11.4	134.2
Bülach	403	2682029 / 1263775	01.1961-12.1990	11.4	10.6	11.8	11.9	13.0	11.7	11.2	11.4	8.6	8.4	10.5	10.8	131.3
Camedo	590	2690295 / 1112206	01.1961-12.1990	6.4	7.3	8.3	10.1	13.7	11.4	9.4	10.5	8.1	8.5	8.5	6.1	108.3
Campocologno	577	2807969 / 1124285	01.1961-12.1990	5.3	5.0	6.5	7.8	11.5	10.7	9.5	9.8	6.8	6.9	6.7	4.8	91.3
Cavaglia	1707	2799866 / 1138474	01.1961-12.1990	7.0	7.3	8.5	9.6	13.1	11.6	10.3	10.9	8.0	7.8	8.6	6.4	109.1
Cevio	417	2689688 / 1130564	01.1961-12.1990	6.8	7.7	8.3	9.7	12.9	11.0	9.8	9.8	7.8	8.4	8.5	7.2	107.9
Cham	442	2677758 / 1226877	01.1961-12.1990	11.1	10.4	11.8	12.6	13.6	13.8	12.3	12.5	8.7	8.6	10.5	10.7	136.6
Chanéaz	765	2546982 / 1175753	01.1961-12.1990	11.4	10.0	11.2	10.6	12.7	11.0	8.7	9.9	7.8	8.8	9.9	10.6	122.6
Chasseral	1594	2570845 / 1220157	01.1961-12.1990	12.3	10.7	13.4	12.2	15.4	13.5	10.1	11.4	9.8	10.2	11.5	12.7	143.2
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	12.5	11.2	12.0	12.2	13.8	12.5	10.5	11.1	8.7	9.0	10.9	12.1	136.5
Chavornay	439	2531886 / 1172741	01.1961-12.1990	10.3	9.6	10.6	9.3	11.8	10.7	9.3	9.5	7.9	8.3	9.3	9.9	116.5
Chur	556	2759488 / 1193181	01.1961-12.1990	7.7	7.0	8.2	8.5	10.6	11.1	10.4	11.6	8.4	6.2	7.5	8.0	105.2
Château-d'Oex	1028	2577040 / 1147654	01.1961-12.1990	11.6	10.7	12.3	12.1	14.4	13.8	11.8	12.6	9.1	8.5	10.6	11.6	139.1
Chéserex	532	2502599 / 1139350	01.1961-12.1990	11.9	10.3	11.6	10.6	12.8	10.8	8.8	10.2	8.8	9.5	10.5	11.1	126.9
Cimetta	1661	2704433 / 1117457	01.1961-12.1990	6.6	7.1	8.3	10.5	13.3	11.2	10.2	11.0	8.3	8.5	8.3	5.5	108.8
Col des Mosses	1412	2573817 / 1137852	01.1961-12.1990	11.6	10.6	12.2	12.2	14.9	13.6	12.0	13.0	9.7	8.6	11.1	11.5	141.0
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	16.1	15.0	17.2	16.7	16.4	14.0	12.1	12.4	10.4	11.5	14.3	14.5	170.6
Coldrerio	347	2721080 / 1079233	01.1961-12.1990	6.2	6.4	7.6	10.1	12.4	10.3	7.7	9.3	6.9	8.0	8.3	5.8	99.0
Combe-Garot	530	2551202 / 1201470	01.1961-12.1990	12.6	11.3	12.6	11.7	13.6	11.9	10.1	10.8	8.8	9.5	10.7	12.0	135.6
Cossonay	590	2527562 / 1162465	01.1961-12.1990	10.1	9.4	10.6	9.4	12.7	10.2	9.1	9.1	7.8	8.3	9.6	10.4	116.7
Courtelary	695	2573622 / 1225598	01.1961-12.1990	13.3	11.5	13.5	12.7	14.9	12.9	11.1	11.4	9.4	9.9	12.0	13.0	145.6
Courtepin	565	2576279 / 1189930	01.1961-12.1990	11.5	10.8	12.0	12.6	13.5	11.5	10.1	11.1	8.3	8.7	10.8	10.5	131.4
Couvet	728	2540606 / 1198345	01.1961-12.1990	13.0	11.2	13.0	12.3	13.9	13.2	10.5	11.2	9.5	9.8	11.1	12.5	141.2
Croix-de-Rozon	478	2499479 / 1111080	01.1961-12.1990	10.6	9.6	10.7	10.1	12.2	10.1	7.9	9.2	7.8	8.5	9.7	10.0	116.4
Davos	1594	2783519 / 1187458	01.1961-12.1990	9.7	8.3	9.6	10.1	12.6	14.2	13.9	13.6	9.5	7.3	8.9	9.0	126.7
Degersheim	830	2732600 / 1247599	01.1961-12.1990	12.9	11.4	13.4	13.8	15.0	14.9	13.3	13.8	10.1	9.1	12.0	12.2	151.9
Delémont	439	2593269 / 1244543	01.1961-12.1990	10.9	10.5	12.0	12.4	13.8	12.2	10.2	11.5	8.6	8.8	10.9	10.8	132.6
Diessenhofen	404	2696732 / 1283138	01.1961-12.1990	11.1	9.7	10.9	11.2	12.5	11.3	11.1	11.9	8.3	8.8	10.5	10.7	128.0
Dietikon	384	2672890 / 1251864	01.1961-12.1990	11.4	10.4	11.8	12.2	12.7	12.1	11.7	11.7	8.8	8.2	10.2	11.0	132.2
Dischma	1710	2786600 / 1182989	01.1961-12.1990	10.0	8.9	10.3	10.6	12.5	14.2	14.4	13.6	9.8	7.4	9.0	9.4	130.1
Disentis	1197	2708190 / 1173793	01.1961-12.1990	8.9	8.6	10.3	10.9	12.1	11.9	11.2	12.2	9.0	8.4	9.7	9.2	122.4
Ebnat-Kappel	623	2726347 / 1237176	01.1961-12.1990	13.8	12.2	14.4	14.0	15.2	15.2	14.3	14.8	10.5	9.4	12.6	12.8	159.2
Echallens	602	2537462 / 1166422	01.1961-12.1990	11.1	10.1	11.5	10.1	12.3	11.2	8.9	9.7	8.0	8.6	9.9	10.2	121.6
Effretikon	478	2695336 / 1254991	01.1961-12.1990	12.4	10.9	12.0	12.2	13.2	12.3	11.6	12.4	8.9	8.8	11.0	11.4	137.1
Eggersriet	770	2753060 / 1256196	01.1961-12.1990	12.7	11.2	13.1	14.3	14.8	14.8	13.7	13.5	10.3	8.6	11.2	12.3	150.5
Egolzwil	521	2642913 / 1225540	01.1961-12.1990	10.3	10.1	11.8	11.8	13.1	12.4	10.9	11.5	8.3	8.1	10.0	9.8	128.1
Ehrendingen	428	2667833 / 1262320	01.1961-12.1990	12.3	10.6	12.0	12.1	12.7	11.7	10.9	11.5	8.7	8.6	10.8	11.2	133.1
Eigenthal	1114	2659340 / 1203879	01.1961-12.1990	13.7	12.5	15.0	15.0	15.8	16.0	14.0	14.5	10.6	10.0	12.4	13.3	162.8
Einsiedeln	910	2699983 / 1221068	01.1961-12.1990	13.2	12.0	14.2	14.1	15.3	15.3	13.9	14.6	10.4	9.3	11.7	12.7	156.7
Elm	957	2732265 / 1198424	01.1961-12.1990	12.3	10.7	13.3	13.7	15.3	16.0	15.4	15.3	11.3	9.2	11.4	12.0	155.9
Engelberg	1035	2674161 / 1186069	01.1961-12.1990	12.3	11.7	14.0	14.2	15.6	16.1	15.2	14.7	10.9	9.4	11.8	12.0	157.9
Entlebuch	768	2647935 / 1204164	01.1961-12.1990	12.1	11.9	14.0	14.1	15.1	14.8	13.0	13.2	9.5	9.3	11.4	12.0	150.4
Eptingen	618	2627692 / 1247983	01.1961-12.1990	13.2	11.7	14.0	13.3	14.5	13.2	11.5	12.8	9.3	9.5	12.0	12.1	147.1
Eriswil	729	2631275 / 1214794	01.1961-12.1990	11.8	11.1	13.0	13.3	15.0	13.7	11.4	12.3	9.0	8.7	11.1	10.9	141.3
Erlenbach im Simmental	732	2606536 / 1167474	01.1961-12.1990	12.2	10.5	12.7	12.8	14.6	14.9	12.5	13.4	9.5	8.6	10.8	11.5	144.0
Ermatingen	400	2723880 / 1281419	01.1961-12.1990	11.9	10.6	11.3	11.7	13.9	11.7	11.4	11.4	8.3	8.7	10.6	11.2	132.7
Eschenz	414	2707844 / 1278214	01.1961-12.1990	10.8	9.5	11.0	11.4	12.3	11.1	10.7	11.4	8.2	8.5	10.1	10.4	125.4
Eschlikon	579	2715684 / 1256830	01.1961-12.1990	12.2	10.9	12.1	13.0	13.5	13.1	12.0	12.8	9.1	8.8	11.7	11.6	140.8
Escholzmatt	840	2637850 / 1194828	01.1961-12.1990	12.7	12.2	14.1	14.3	15.5	15.1	13.3	13.3	9.7	8.9	11.8	12.1	153.0
Euthal	910	2704729 / 1217362	01.1961-12.1990	13.6	12.1	14.5	14.5	15.5	16.1	15.1	14.6	10.6	9.6	12.0	13.1	161.3
Evolène	1375	2604719 / 1106509	01.1961-12.1990	8.3	8.6	8.0	8.5	10.0	10.6	9.5	10.8	7.5	6.9	7.6	7.6	103.9
Fahy	596	2562464 / 1252675	01.1961-12.1990	12.9	10.9	13.2	12.8	14.3	12.5	10.3	11.3	9.4	9.9	11.4	12.4	141.3
Faido	747	2704950 / 1148265	01.1961-12.1990	7.5	8.0	8.3	9.1	11.8	10.3	8.8	10.3	7.7	8.2	9.0	7.4	106.4
Fey	737	2586724 / 1115180	01.1961-12.1990	6.9	6.0	6.5	6.0	7.4	7.6	8.0	7.9	5.6	5.7	6.7	7.1	81.4
Fieschertal	1175	2653989 / 1142081	01.1961-12.1990	8.7	8.2	8.7	7.8	10.4	8.8	8.3	9.6	7.1	7.5	8.8	9.0	102.9
Filisur	1030	2772250 / 1171319	01.1961-12.1990	7.8	6.7	8.1	8.9	11.1	12.1	11.9	12.3	8.3	6.9	8.0	7.8	109.9
Finhaut	1236	2564168 / 1103582	01.1961-12.1990	10.6	9.5	11.1	10.6	12.5	12.2	11.4	12.6	8.8	8.2	10.0	10.2	127.7
Fionnay	1500	2589959 / 1097765	01.1961-12.1990	11.0	9.9	12.0	12.5	13.2	12.8	11.6	12.2	8.9	9.1	10.4	10.2	133.8
Flawil	571	2733136 / 1252977	01.1961-12.1990	12.4	11.1	13.1	13.3	14.2	14.2	13.3	13.3	9.6	8.9	11.4	12.0	146.8
Flims	1056	2740706 / 1188588	01.1961-12.1990	11.6	10.0	12.0	12.7	13.2	13.5	13.0	12.8	9.8	8.7	10.6	10.9	138.8
Flühli, LU	939	2644332 / 1193311	01.1961-12.1990	13.0	11.9	14.3	14.0	15.9	15.7	14.1	13.9	9.8	9.2	11.9	12.4	156.1
Frauenfeld	393	2709480 / 1270169	01.1961-12.1990	11.0	10.4	11.3	11.4	12.7	12.4	11.2	12.0	8.6	8.2	10.4	10.9	130.5
Fribourg / Grangeneuve	650	2575183 / 1180076	01.1961-12.1990	9.9	10.2	11.2	11.2	14.2	12.0	10.3	10.7	8.3	8.2	10.1	9.8	126.1
Frick	344	2643355 / 1262699	01.1961-12.1990	12.6	10.6	12.5	12.0	13.3	11.8	10.7	11.8	8.7	8.6	11.0	11.7	135.3
Fruence	810	2558813 / 1152867	01.1961-12.1990	11.4	10.9	12.4	12.2	13.7	11.9	10.0	10.9	8.6	9.0	10.7	10.9	132.6
